City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
234,saipan,15.1355,145.701,27.58,76,100,3.6,MP,1737756000
235,daru,-9.0763,143.2092,26.64,90,98,3.67,PG,1737756001
236,kosh-agach,50.0,88.6667,-38.27,96,35,1.25,RU,1737756003
237,oranjemund,-28.55,16.4333,17.6,97,3,2.64,NA,1737756005
238,badger,64.8,-147.5333,3.14,85,100,6.17,US,1737756006
239,lihue,21.9789,-159.3672,24.3,64,68,2.74,US,1737756007
240,antsiranana,-12.2787,49.2917,23.94,88,51,0.95,MG,1737756008
241,hobyo,5.3505,48.5268,23.52,77,45,7.99,SO,1737756010
242,bogande,12.9714,-0.1436,24.28,15,21,3.76,BF,1737756012
243,noumea,-22.2763,166.4572,30.01,99,78,2.01,NC,1737756013
244,gilgit,35.9221,74.3087,-9.33,34,0,2.18,PK,1737756015
245,zhigalovo,54.8097,105.1578,-32.77,100,87,1.3,RU,1737756016
246,qaqortoq,60.7167,-46.0333,-11.31,91,100,3.02,GL,1737756017
247,tolanaro,-25.0319,46.9987,25.04,88,75,4.12,MG,1737756018
248,palmeira,-25.4294,-50.0064,20.57,88,76,1.83,BR,1737756021
249,scottburgh,-30.2867,30.7532,22.62,85,12,2.33,ZA,1737756022
250,kargat,55.1956,80.2811,-19.06,95,100,8.27,RU,1737756023
251,kayangel,8.0823,134.7173,28.13,78,5,5.88,PW,1737756024
252,trat,12.5,102.5,20.98,77,100,0.77,TH,1737756025
253,saint-pierre,-21.3393,55.4781,25.82,73,0,3.09,RE,1737756027
254,dudinka,69.4058,86.1778,-35.89,97,90,2.88,RU,1737756028
255,skelleftea,64.7507,20.9528,-7.78,100,100,1.54,SE,1737756029
256,baukau,51.5526,7.2042,9.52,95,100,3.1,DE,1737756030
257,iquique,-20.2208,-70.1431,21.35,76,71,1.02,CL,1737756032
258,midelt,32.6852,-4.7451,9.31,35,0,2.25,MA,1737756034
259,evergreen,39.6333,-105.3172,7.78,38,43,4.47,US,1737756013
260,huntsville,34.7304,-86.5861,5.37,40,0,7.72,US,1737756037
261,selfoss,63.9331,-20.9971,1.14,90,100,7.31,IS,1737756038
262,dalandzadgad,43.5708,104.425,-9.14,62,100,6.58,MN,1737756039
263,cidreira,-30.1811,-50.2056,23.25,85,100,1.83,BR,1737756040
264,inhambane,-23.865,35.3833,25.66,90,4,3.64,MZ,1737756041
265,port augusta,-32.5,137.7667,23.78,33,50,1.51,AU,1737756043
266,tocopilla,-22.092,-70.1979,22.72,70,69,3.3,CL,1737756044
267,malango,-2.9627,119.9001,20.19,99,100,0.31,ID,1737756045
268,crane,31.3974,-102.3501,14.15,11,5,4.81,US,1737756046
269,marat,25.0701,45.4615,15.07,41,44,5.05,SA,1737756047
270,dellys,36.9172,3.9131,14.53,59,0,4.59,DZ,1737756049
271,kamaishi,39.2667,141.8833,0.56,68,1,1.5,JP,1737756050
272,belmonte,-15.8631,-38.8828,24.99,89,13,2.53,BR,1737756051
273,touros,-5.1989,-35.4608,26.88,72,0,5.42,BR,1737756052
274,vila franca do campo,37.7167,-25.4333,13.23,74,81,2.92,PT,1737756053
275,laredo,27.5064,-99.5075,16.16,20,0,3.6,US,1737756055
276,andovoranto,-18.95,49.1,24.94,91,100,2.87,MG,1737756056
277,gorgoram,12.6398,10.7039,21.52,17,64,4.63,NG,1737756057
278,lerwick,60.1545,-1.1494,6.93,83,93,10.65,GB,1737756060
279,barra de santo antonio,-9.4047,-35.5072,26.38,80,3,5.15,BR,1737756061
280,hermanus,-34.4187,19.2345,20.45,87,31,3.43,ZA,1737756062
281,nova vicosa,-17.8919,-39.3719,25.83,80,90,3.67,BR,1737756063
282,mossel bay,-34.1831,22.146,19.96,82,0,1.18,ZA,1737756064
283,priozersk,61.0393,30.1291,1.11,91,100,4.36,RU,1737756066
284,swift current,50.2834,-107.8014,-4.55,93,100,13.89,CA,1737756067
285,parauapebas,-6.0675,-49.9022,24.99,94,100,0.51,BR,1737756068
286,harper,4.375,-7.7169,26.53,78,7,2.99,LR,1737756069
287,aquitania,5.5197,-72.8875,10.31,94,93,1.38,CO,1737756071
288,constantia,44.1833,28.65,8.38,96,100,3.99,RO,1737756072
289,kananga,-5.8958,22.4178,19.61,95,100,1.4,CD,1737756073
290,barclayville,4.6797,-8.2339,24.69,86,9,1.08,LR,1737756074
291,general pico,-35.6566,-63.7568,33.81,13,0,3.94,AR,1737756076
292,tralee,52.2704,-9.7026,4.41,57,56,7.11,IE,1737756077
293,flin flon,54.7682,-101.865,-9.09,86,100,8.23,CA,1737756078
294,tsiombe,-25.3,45.4833,24.24,91,100,2.76,MG,1737756079
295,haiku-pauwela,20.9219,-156.3051,25.68,77,86,6.71,US,1737756080
296,piacabucu,-10.4056,-36.4344,26.37,78,7,4.39,BR,1737756082
297,kiruna,67.8557,20.2251,-20.49,77,100,0.51,SE,1737755851
298,yeppoon,-23.1333,150.7333,26.69,78,78,2.53,AU,1737756084
299,kerikeri,-35.2268,173.9474,23.84,80,95,4.02,NZ,1737756085
300,stiens,53.2623,5.7577,7.99,75,100,4.12,NL,1737756088
301,ola,59.5833,151.2833,-22.25,84,100,1.31,RU,1737756089
302,bangar,16.8936,120.4243,23.44,81,7,1.87,PH,1737756090
303,chateaugiron,48.0463,-1.5044,10.35,100,100,2.57,FR,1737756091
304,kidal,18.4411,1.4078,21.02,14,63,4.46,ML,1737756093
305,erechim,-27.6342,-52.2739,22.11,85,73,1.79,BR,1737756094
306,port mathurin,-19.6833,63.4167,26.3,72,2,7.48,MU,1737756095
307,lorengau,-2.0226,147.2712,28.44,69,100,3.38,PG,1737756096
308,chiredzi,-21.05,31.6667,22.42,82,90,1.25,ZW,1737756097
309,odense,55.3959,10.3883,6.63,76,100,8.41,DK,1737755830
310,cambria,35.5641,-121.0808,23.47,35,30,2.18,US,1737756100
311,keflavik,64.0049,-22.5624,0.24,100,100,1.03,IS,1737756102
312,las higueras,-33.0923,-64.289,33.59,34,41,3.87,AR,1737756104
